"region","freq_band","pval_type","pval","experiment","data_type","pval_fdr_adjusted","fdr_significant"
"LPBN",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",1,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"MD_thal",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",1,"int_pval",2.09136727993703e-08,"CGRPaba","power",3.55572121977909e-08,TRUE
"Po",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Po",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",1,"int_pval",0.0442939899294382,"CGRPaba","power",0.0555068740933939,FALSE
"RPBN",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"RPBN",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",1,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"VPM",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc_x_AMY",1,"els_par_pval",0.987410216769068,"ELS","coherence",0.999437531782993,FALSE
"Acc_x_AMY",1,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",1,"els_cgrp_intn_par_pval",0.756083023157288,"ELS","coherence",0.807449807805638,FALSE
"Acc_x_AMY",1,"els_cgrp_intn_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",2,"els_par_pval",0.852698855691661,"ELS","coherence",0.886331989210822,FALSE
"Acc_x_AMY",2,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",2,"els_cgrp_intn_par_pval",0.399656929237273,"ELS","coherence",0.457918936824292,FALSE
"Acc_x_AMY",2,"els_cgrp_intn_spval",3.96057707685582e-06,"ELS","coherence",6.25868970169809e-06,TRUE
"Acc_x_AMY",3,"els_par_pval",0.948482292433283,"ELS","coherence",0.967927259704125,FALSE
"Acc_x_AMY",3,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",3,"els_cgrp_intn_par_pval",0.852170817781832,"ELS","coherence",0.886331989210822,FALSE
"Acc_x_AMY",3,"els_cgrp_intn_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",4,"els_par_pval",0.378849588052495,"ELS","coherence",0.436310065417783,FALSE
